epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,3346.81,0.90883,0.55771,0.99586,0.69785,0.63152,0.61956,0.28272,1.83702,1.04656,1.57235,0.000630715,0.000630715,0.000630715
133,3371.06,0.90929,0.57813,1.00186,0.75302,0.62881,0.62473,0.29181,1.84758,1.03233,1.59152,0.000627048,0.000627048,0.000627048
134,3395.61,0.86826,0.5721,0.98281,0.70258,0.60963,0.61106,0.28745,1.85586,1.04786,1.59399,0.000623382,0.000623382,0.000623382
135,3420.16,0.87261,0.53576,0.95302,0.61404,0.5877,0.61756,0.26578,1.86169,1.05959,1.61142,0.000619716,0.000619716,0.000619716
136,3444.75,0.86906,0.54392,0.95954,0.56714,0.63349,0.63059,0.27865,1.85334,1.05216,1.59563,0.000616049,0.000616049,0.000616049
137,3469.3,0.83195,0.53899,0.96385,0.619,0.63122,0.6218,0.29352,1.87527,1.08003,1.6028,0.000612383,0.000612383,0.000612383
138,3494.03,0.84564,0.55085,0.96102,0.65209,0.60657,0.62365,0.29414,1.88293,1.0986,1.60743,0.000608717,0.000608717,0.000608717
139,3519.02,0.86196,0.55855,0.96525,0.66206,0.6463,0.63017,0.29533,1.84486,1.00747,1.59695,0.000605051,0.000605051,0.000605051
140,3544.07,0.86668,0.52378,0.94696,0.63267,0.66542,0.66707,0.30629,1.83457,0.98034,1.60137,0.000601384,0.000601384,0.000601384
141,3569.34,0.89131,0.56793,0.96128,0.63861,0.65911,0.68718,0.31189,1.80882,0.9044,1.58505,0.000597718,0.000597718,0.000597718
142,3594.44,0.92954,0.58123,0.97882,0.65837,0.6351,0.66511,0.30854,1.81023,0.88747,1.57022,0.000594052,0.000594052,0.000594052
143,3619.53,0.87105,0.55862,0.96786,0.65609,0.59459,0.68007,0.31817,1.79027,0.88174,1.56491,0.000590385,0.000590385,0.000590385
144,3644.13,0.80994,0.5328,0.96356,0.73269,0.58954,0.66757,0.32294,1.79422,0.89133,1.59329,0.000586719,0.000586719,0.000586719
145,3668.95,0.83174,0.52783,0.94891,0.7208,0.56453,0.65091,0.31538,1.8218,0.94006,1.63873,0.000583053,0.000583053,0.000583053
146,3693.74,0.79564,0.52212,0.9398,0.76631,0.57877,0.68766,0.31835,1.82484,0.95161,1.65092,0.000579386,0.000579386,0.000579386
